z dist z_err dist_err
9.618481788258806953e-01 1.106384758995943152e+01 2.378900178193210369e-01 1.297343043418496933e+00
1.324065357845896518e+00 9.124695857977101809e+00 2.436417634286333067e-01 1.379935690542700932e+00
8.564274594443299637e-01 5.880303773965811054e+00 1.836214099058699478e-01 6.290912359184940295e-01
1.018260349511902696e+00 9.958975855790706433e+00 2.204788680986093929e-01 1.061104926729644626e+00
1.222827504390540554e+00 1.186549680861742395e+01 2.523020886235661786e-01 1.508575053684541922e+00
8.501938153533532549e-01 1.274519478369223258e+01 2.265127644336111801e-01 1.140632838246587122e+00
1.822902790342532386e-01 2.358554508330538813e+00 1.423967790178284343e-01 2.562360727231406954e-01
1.381910347330600031e+00 7.909115618302311468e+00 2.235947821031773752e-01 1.101863578903970131e+00
9.917694121080316005e-01 5.991364815232104846e+00 1.838499935401757268e-01 6.314854843518967753e-01
9.917523315608084422e-01 9.246331252194263328e+00 2.267299302429882646e-01 1.143541375724057563e+00
5.689695263203233822e-01 9.419678390897052722e+00 2.190894021182759888e-01 1.043142710000999562e+00
5.260446765843277417e-01 6.016090284004349087e+00 1.859244696460566337e-01 6.533772090047408332e-01
6.763476498177850571e-01 4.099575678118812405e+00 1.714989497230286764e-01 5.072406475438340223e-01
1.467581936666214171e+00 9.569550474564191944e+00 2.350751799708134804e-01 1.257748329880044702e+00
6.459808416615182569e-01 4.934750584326991429e+00 1.797740669431797667e-01 5.893288904922266980e-01
1.232197081826713614e+00 9.132484398814641580e+00 2.214309749306778707e-01 1.073489101321891015e+00
1.320487382456844383e+00 1.408449256763478274e+01 2.983383198937738512e-01 2.279574679465842024e+00
8.594855457498148388e-01 5.989918005946876178e+00 1.833903845435599367e-01 6.266750380059546988e-01
1.169825352518365502e+00 1.182079092126258324e+01 2.611930561531286554e-01 1.646010251091927001e+00
1.264635504576433700e+00 9.945800779422800275e+00 2.442979924272906112e-01 1.389502929690237698e+00
1.495626465958828089e+00 1.501704006694718707e+01 2.575951563217052653e-01 1.589737745166372340e+00
1.377790190558454420e+00 7.390617411025912631e+00 2.400887180015356392e-01 1.328647955756965260e+00
1.211583538590538245e+00 9.017612748499931996e+00 2.518138671459381750e-01 1.501185970649107526e+00
1.265454807202897269e+00 9.824697811099555977e+00 2.264896766326018052e-01 1.140323808598783462e+00
1.014548108041299690e+00 9.995469477642966893e+00 2.087022642662380578e-01 9.130246685298574194e-01
6.036510545300470820e-01 5.592235814755254886e+00 1.771350699973468501e-01 5.626403427270588731e-01
1.162545366870104901e+00 1.224588020847243186e+01 2.580049831004412875e-01 1.596102492994935451e+00
1.443650485506502879e+00 1.112768505755072290e+01 2.357760889037210927e-01 1.267556959571528363e+00
8.467889513886713848e-01 7.916067643643015295e+00 2.014107435428775794e-01 8.260670556833192846e-01
9.360557652697097941e-01 6.137409482391052329e+00 1.833950108442096993e-01 6.267233867865034114e-01
1.101280969301080992e+00 7.207407476323175466e+00 2.073394008768839614e-01 8.964967284842872974e-01
5.868677115991451920e-01 4.709174607379334354e+00 1.694270595650224642e-01 4.874240917408574902e-01
2.848200085283990601e-01 4.487557808041845675e+00 1.751772827915812902e-01 5.431492967866820010e-01
1.319409106035806190e+00 1.094723456015289997e+01 2.501932965676323950e-01 1.476776676814946176e+00
1.189612939225590749e+00 7.279573944143454156e+00 2.176851582316499667e-01 1.025122954701866984e+00
3.047209557744094410e-01 4.671656937055383985e+00 1.684456794173725402e-01 4.781409139068224512e-01
7.847583006523535243e-01 5.951020689758872884e+00 1.887587380599863585e-01 6.837615273409376471e-01
1.244841387887701822e+00 8.630414736143537269e+00 2.264397974667444746e-01 1.139656301248842318e+00
1.204591711292941403e+00 7.484246801610416000e+00 2.054895560055900461e-01 8.742649827196351531e-01
1.093602797386575176e+00 8.137715249675277818e+00 2.194677253831382180e-01 1.048020436265255428e+00
1.491818256569052314e+00 1.199778272973766491e+01 2.684216419377740137e-01 1.761773869410006021e+00
1.031925038967169472e+00 7.239362987314835074e+00 2.126111419721211093e-01 9.611295061910476445e-01
7.397639071126634880e-01 4.692573986191865387e+00 1.795720908704965812e-01 5.872694287752794340e-01
6.078897612154317009e-01 2.728252810565090947e+00 1.598932850454378163e-01 4.000595518418143537e-01
1.482084014232426972e+00 1.064050952304200592e+01 2.535233142340113655e-01 1.527129772479503655e+00
9.972314918329132638e-01 8.036612224975851149e+00 2.130117635569183376e-01 9.661184731669142378e-01
9.957849657279365108e-01 6.919946600725115360e+00 2.071421870690145495e-01 8.941155022920701523e-01
1.473246828494067850e+00 1.065463249154336722e+01 2.333991248556844811e-01 1.234429483615908651e+00
4.171760587965224754e-01 4.880198139285639058e+00 1.687946533240555491e-01 4.814343581512087744e-01
1.318690490747791211e+00 9.487830980860845642e+00 2.225712970987103745e-01 1.088402651832870438e+00
1.088137076120785363e+00 1.417737436839625786e+01 2.803489192326199531e-01 1.960715673318550456e+00
5.080451016694760291e-01 3.992459833712698192e+00 1.588142493694395252e-01 3.905687059913429682e-01
1.252711177983415025e+00 7.772796864173023401e+00 2.078177752498135966e-01 9.022837670538965682e-01
1.290157973550821069e+00 6.998516449168205256e+00 2.285315090603609878e-01 1.167794211055500408e+00
1.143790277876290062e+00 7.580426448328976718e+00 2.242908286335802970e-01 1.111058784907091868e+00
1.000825502925212440e+00 5.591957188527580058e+00 2.205704218029094221e-01 1.062293095393693987e+00
8.003436729564732399e-01 7.109912651114751903e+00 2.194738322328015079e-01 1.048099251843710222e+00
1.296972838340527456e+00 1.233213150925816137e+01 2.501527580895171465e-01 1.476168395223199870e+00
1.391413286369853175e+00 9.093262158569460851e+00 2.400044473546899815e-01 1.327442018722642780e+00
1.037934515065682239e+00 7.127411205190606225e+00 2.083327655026005754e-01 9.085311468815790992e-01
1.278073245566476723e+00 8.177473442128773584e+00 2.247279577396558981e-01 1.116850405922012790e+00
1.376474600504096202e+00 1.296370419888055459e+01 2.422679876621959272e-01 1.360002851051160810e+00
1.349118140488545281e+00 9.412684504191366486e+00 2.439093175236590472e-01 1.383832827356053397e+00
1.008009940647867086e+00 4.694813665193612096e+00 1.784209389564344883e-01 5.755849432240256469e-01
1.242143460691121915e+00 7.674135095973726450e+00 2.164224684385112618e-01 1.009034241712714719e+00
2.358276370187847026e-01 2.599891678564568487e+00 1.462713998169448693e-01 2.862247223418391551e-01
5.891898454281176978e-01 2.971955287743883289e+00 1.487066221566048785e-01 3.056176546431131902e-01
1.453212890868361473e+00 1.187772256306476493e+01 2.409944346675607640e-01 1.341639720373682065e+00
1.028370302938445890e+00 9.194760791871186001e+00 2.271891158158789448e-01 1.149701910761506296e+00
1.195097026158818743e+00 4.574865767160874341e+00 1.721437132376573975e-01 5.134677523656946407e-01
1.013336200699834988e+00 8.310963078976653762e+00 2.138287222546443322e-01 9.763259350502057066e-01
1.456644676936453386e+00 1.065692335219891262e+01 2.569258058607223894e-01 1.579367422747379512e+00
6.400055937448565491e-01 2.891436368015057212e+00 1.476090849715883946e-01 2.968254825271919861e-01
5.033064046973861894e-01 4.617809233206327413e+00 1.708509780089784436e-01 5.010113726260903011e-01
1.394796341157769071e+00 1.689677859030871332e+01 2.803954292100571122e-01 1.961510833676237464e+00
8.515784646106345779e-01 8.307293561397084858e+00 2.285532602868411700e-01 1.168088378202235988e+00
5.418022539397876480e-01 3.395368997898098762e+00 1.559106742422953218e-01 3.654327828109675269e-01
1.228245194259117712e+00 8.021412910837939947e+00 2.217478795019861837e-01 1.077624810349324225e+00
1.122541065290031836e+00 6.942785709097694991e+00 2.115711308007249269e-01 9.482291179210015075e-01
6.063487898686923394e-01 1.930530668253032545e+00 1.371246806245994265e-01 2.171525425584792390e-01
3.742147136550513786e-01 2.541468070783749145e+00 1.434946300188091328e-01 2.646247698016895855e-01
1.163885609805711541e+00 6.776693621730432326e+00 1.862756126147945557e-01 6.571118468490501074e-01
1.248676778927747755e+00 7.812150673436731196e+00 2.174945059359557897e-01 1.022686782610179979e+00
9.425006982642536446e-01 7.166858968664307383e+00 2.200718188451348534e-01 1.055829217852130686e+00
4.312436033973667260e-01 2.847900425888671982e+00 1.436789095762213975e-01 2.660412673728519972e-01
8.568970952478379699e-01 5.814807218735923655e+00 1.932852320425278991e-01 7.334223883227930507e-01
1.091468706138157607e+00 6.959010353441417607e+00 2.205481200266690145e-01 1.062003614099443327e+00
1.018709913350277940e+00 6.243988000798109006e+00 1.985199298979714033e-01 7.925922117479916595e-01
8.916611855889581273e-01 8.183966820027109179e+00 2.062262754940143439e-01 8.830911284442408693e-01
1.107671281868516378e+00 1.317125034977951614e+01 2.547500673216864797e-01 1.545871864496957793e+00
7.845452401878725279e-01 2.477995072903431240e+00 1.548345510249132251e-01 3.562664537387541519e-01
1.466436797169309303e+00 1.361937978508944624e+01 2.646439401608040032e-01 1.700823861729294117e+00
1.483107368892703448e+00 1.431034103688642745e+01 2.749625644500954813e-01 1.869647852026144585e+00
9.986574646610479888e-01 6.473861404617392346e+00 2.009604838669912796e-01 8.208158100884468400e-01
6.870267665223783737e-01 3.816165066141960160e+00 1.624422233478516331e-01 4.228006305710235724e-01
1.331885950286419096e+00 5.709478482737259775e+00 1.967507376322465695e-01 7.723857802934513961e-01
1.347407963135125009e+00 1.493321925451549248e+01 2.992998241884002875e-01 2.297257445268161558e+00
7.084112893749358042e-01 7.076385931071224711e+00 2.108194746172816214e-01 9.389512934571134783e-01
2.615034725502169421e-01 1.701128486669875040e+00 1.347823454459546044e-01 2.004292507953575053e-01
8.942709495938629960e-01 8.712779529574698145e+00 2.018340549523467142e-01 8.310165825240369841e-01
4.450810236134296050e-01 4.158417700701730446e+00 1.661776069653168320e-01 4.569407657367299258e-01
6.709134418927304999e-01 2.837260421288748002e+00 1.518792512221797675e-01 3.315107258614523045e-01
1.473913601589393885e+00 1.328419631992091610e+01 2.766697821064670326e-01 1.898293161561017017e+00
1.054697026741137300e+00 7.665082311540641236e+00 2.126514972982626039e-01 9.616315594127844424e-01
1.337183387781842869e+00 1.080885241986793766e+01 2.417355230172047453e-01 1.352311821903372957e+00
7.373516022629313937e-01 5.224173225003999832e+00 1.762924166170304063e-01 5.542189628942508772e-01
1.453946905683549451e+00 8.687759137219005723e+00 2.344564211921992547e-01 1.249117227694928500e+00
1.207148766434812837e+00 7.088103728534008496e+00 2.095889806856837956e-01 9.238460023144960953e-01
1.111446034152767215e+00 7.708179431778716229e+00 1.971566219684335874e-01 7.770026778308809501e-01
8.808387366080501213e-01 7.424292591527873242e+00 2.190570790693352754e-01 1.042726420255980724e+00
7.299302369477278507e-01 5.152472224732036921e+00 1.810029309538893072e-01 6.019192254501837258e-01
1.111711995392328900e+00 1.310985197310018435e+01 2.589477746801405189e-01 1.610788363768243192e+00
1.380675878307146887e+00 1.243706398570951954e+01 2.392507517882525581e-01 1.316678039472464645e+00
5.048657069907697137e-01 3.160751043497856294e+00 1.516787672261235564e-01 3.298535279263364872e-01
1.305291246896474799e+00 1.048465984851929633e+01 2.377861773801275835e-01 1.295872752832763153e+00
1.426862692958223544e+00 1.021194109253613291e+01 2.567360123988038367e-01 1.576432554381206108e+00
1.491985268255980213e+00 1.140838013147894614e+01 2.781556205295084294e-01 1.923389201220974565e+00
7.600446661406317084e-01 7.250141431347359777e+00 1.945591472356494323e-01 7.476502834985387924e-01
9.951996953152030256e-01 8.612543980873972771e+00 2.140794773649704885e-01 9.794680897860364999e-01
4.963838335994582573e-01 2.127833582683372970e+00 1.380486909374154525e-01 2.238583727555877312e-01
1.416632285361896004e+00 1.150863323418358064e+01 2.737250937135574658e-01 1.849011214198422737e+00
1.394779700217626095e+00 1.043130737085050797e+01 2.668319168878071079e-01 1.736004492192577908e+00
1.150337740556963473e+00 9.188099307410650951e+00 2.159289069385327275e-01 1.002774954970014454e+00
8.372345516048524949e-01 3.783757454924050023e+00 1.623169442786040750e-01 4.216723767225122876e-01
1.488642396319316052e+00 1.373840135890235814e+01 3.016743708310365424e-01 2.341206559908413087e+00
1.103264069082390275e+00 6.847038348222046267e+00 2.015901739873787735e-01 8.281635408674254961e-01
1.312907121694523394e+00 1.397973389919311060e+01 2.720879357985115377e-01 1.821872856609025204e+00
1.307655658640582752e+00 1.641443186691011036e+01 3.260493272191449243e-01 2.815473031633481504e+00
1.226729299690677788e+00 7.523142407584574087e+00 2.103794862813488931e-01 9.335382636836481174e-01
5.372356102941304723e-01 2.707624612064702063e+00 1.458361164198547222e-01 2.828025614004651689e-01
1.334216414869148881e+00 9.732208342404911505e+00 2.397239647671366436e-01 1.323431735083660632e+00
1.334692139936663358e+00 9.361867218816406933e+00 2.572992584711086828e-01 1.585149555166450952e+00
3.095715947869001061e-01 4.603286483848043176e+00 1.748023705689599749e-01 5.394467957508275457e-01
